start,end,start_datetime,end_datetime,duration_buckets,duration_minutes,num_anomalous_buckets,peak_stress_score,peak_stress_score,peak_trade_count,peak_amount_sum,peak_avg_trade_size,total_amount,snapshot_covered,num_snapshot_buckets,max_abs_midpoint_return,max_spread,min_total_depth,max_abs_depth_imbalance,peak_activity_component,peak_liquidity_component,peak_price_component,mean_activity_component,mean_liquidity_component,mean_price_component,dominant_driver,market_file,market_stem
1770999360,1770999360,2026-02-13 16:16:00,2026-02-13 16:16:00,1,1,1,14.280596831169866,14.280596831169866,5.0,21740.486150999997,4348.097230199999,21740.486150999997,False,0,,,,,14.280596831169866,0.0,0.0,14.280596831169866,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770983580,1770983580,2026-02-13 11:53:00,2026-02-13 11:53:00,1,1,1,13.501518052941524,13.501518052941524,7.0,20110.83604,2872.976577142857,20110.83604,False,0,,,,,13.501518052941524,0.0,0.0,13.501518052941524,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770949500,1770949500,2026-02-13 02:25:00,2026-02-13 02:25:00,1,1,1,13.321951312526242,13.321951312526242,2.0,1570.2284,785.1142,1570.2284,False,0,,,,,13.321951312526242,0.0,0.0,13.321951312526242,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770979800,1770979800,2026-02-13 10:50:00,2026-02-13 10:50:00,1,1,1,12.945921472162317,12.945921472162317,1.0,2417.14526,2417.14526,2417.14526,False,0,,,,,12.945921472162317,0.0,0.0,12.945921472162317,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770907980,1770907980,2026-02-12 14:53:00,2026-02-12 14:53:00,1,1,1,12.871829561533612,12.871829561533612,2.0,1448.54,724.27,1448.54,False,0,,,,,12.871829561533612,0.0,0.0,12.871829561533612,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770844980,1770844980,2026-02-11 21:23:00,2026-02-11 21:23:00,1,1,1,12.752301487848698,12.752301487848698,2.0,668.7,334.35,668.7,False,0,,,,,12.752301487848698,0.0,0.0,12.752301487848698,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770849660,1770849660,2026-02-11 22:41:00,2026-02-11 22:41:00,1,1,1,12.00045401434811,12.00045401434811,1.0,875.6,875.6,875.6,False,0,,,,,12.00045401434811,0.0,0.0,12.00045401434811,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770838560,1770838560,2026-02-11 19:36:00,2026-02-11 19:36:00,1,1,1,10.714857121584782,10.714857121584782,6.0,403.799995,67.29999916666667,403.799995,False,0,,,,,10.714857121584782,0.0,0.0,10.714857121584782,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770931440,1770931440,2026-02-12 21:24:00,2026-02-12 21:24:00,1,1,1,10.200573816031355,10.200573816031355,2.0,753.0,376.5,753.0,False,0,,,,,10.200573816031355,0.0,0.0,10.200573816031355,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770929400,1770929400,2026-02-12 20:50:00,2026-02-12 20:50:00,1,1,1,9.769685481778017,9.769685481778017,11.0,335.337995,30.485272272727272,335.337995,False,0,,,,,9.769685481778017,0.0,0.0,9.769685481778017,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1771007820,1771007820,2026-02-13 18:37:00,2026-02-13 18:37:00,1,1,1,9.380142378847673,9.380142378847673,1.0,10761.20802,10761.20802,10761.20802,False,0,,,,,9.380142378847673,0.0,0.0,9.380142378847673,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770998700,1770998700,2026-02-13 16:05:00,2026-02-13 16:05:00,1,1,1,9.350553801535199,9.350553801535199,1.0,3496.5,3496.5,3496.5,False,0,,,,,9.350553801535199,0.0,0.0,9.350553801535199,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770924180,1770924180,2026-02-12 19:23:00,2026-02-12 19:23:00,1,1,1,9.186058992577571,9.186058992577571,1.0,399.0,399.0,399.0,False,0,,,,,9.186058992577571,0.0,0.0,9.186058992577571,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770940860,1770940860,2026-02-13 00:01:00,2026-02-13 00:01:00,1,1,1,8.368982542008206,8.368982542008206,3.0,777.02,259.00666666666666,777.02,False,0,,,,,8.368982542008206,0.0,0.0,8.368982542008206,0.0,0.0,activity,1345814_YES.csv,1345814_YES
1770912420,1770912420,2026-02-12 16:07:00,2026-02-12 16:07:00,1,1,1,8.219095820601359,8.219095820601359,17.0,782.807045,46.04747323529412,782.807045,False,0,,,,,8.219095820601359,0.0,0.0,8.219095820601359,0.0,0.0,activity,1345814_YES.csv,1345814_YES
