bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,market_file,market_stem
1770819000,2026-02-11 14:10:00,4,115.081625,104.07729500000002,0.9043780447060565,26.019323750000005,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770819060,2026-02-11 14:11:00,1,149.0,135.59,0.9099999999938927,135.59,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770819540,2026-02-11 14:19:00,1,2.37,2.133,0.8999999996202531,2.133,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770820500,2026-02-11 14:35:00,1,2.37,2.0382,0.8599999996371308,2.0382,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770820860,2026-02-11 14:41:00,1,10.0,8.299999999999999,0.8299999999169999,8.299999999999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770820920,2026-02-11 14:42:00,1,10.0,8.100000000000001,0.8099999999190002,8.100000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770820980,2026-02-11 14:43:00,1,10.0,8.2,0.8199999999179999,8.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821220,2026-02-11 14:47:00,1,10.0,8.2,0.8199999999179999,8.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821340,2026-02-11 14:49:00,1,10.0,8.2,0.8199999999179999,8.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821400,2026-02-11 14:50:00,1,10.0,8.100000000000001,0.8099999999190002,8.100000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821460,2026-02-11 14:51:00,1,10.0,8.100000000000001,0.8099999999190002,8.100000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821520,2026-02-11 14:52:00,1,10.0,8.100000000000001,0.8099999999190002,8.100000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770821700,2026-02-11 14:55:00,1,10.0,8.100000000000001,0.8099999999190002,8.100000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822180,2026-02-11 15:03:00,1,15.0,11.7,0.7799999999480001,11.7,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822240,2026-02-11 15:04:00,8,337.08389,259.354595,0.7694066749948525,32.419324375,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822300,2026-02-11 15:05:00,3,135.7887,104.45729899999999,0.769263561689822,34.819099666666666,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822360,2026-02-11 15:06:00,3,73.16883,56.039999,0.7658998920610607,18.679999666666667,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822420,2026-02-11 15:07:00,1,65.013511,48.10999799999999,0.7399999978352191,48.10999799999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822480,2026-02-11 15:08:00,3,85.904107,62.509997999999996,0.7276718213166726,20.836665999999997,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822540,2026-02-11 15:09:00,2,76.819443,55.209998,0.718698233717749,27.604999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822600,2026-02-11 15:10:00,2,94.904107,68.989998,0.7269442828145789,34.494999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822780,2026-02-11 15:13:00,1,10.0,6.9,0.6899999999309999,6.9,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822840,2026-02-11 15:14:00,5,50.0,35.3,0.70599999998588,7.06,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822900,2026-02-11 15:15:00,6,233.265174,171.873995,0.7368180686897702,28.645665833333336,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770822960,2026-02-11 15:16:00,2,65.94520299999999,48.139998,0.7299999971077502,24.069999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770823020,2026-02-11 15:17:00,2,65.945942,48.599997,0.7369672117089938,24.2999985,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770823080,2026-02-11 15:18:00,2,52.0,38.84,0.7469230769087132,19.42,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770823140,2026-02-11 15:19:00,2,46.64,34.980000000000004,0.7499999999839195,17.490000000000002,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
