timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771007700,2026-02-14T02:35:00.448268,0.9625,0.963,0.962,0.001,44116.83,20078.31
1771007950,2026-02-14T02:39:10.080369,0.963,0.964,0.962,0.002,37456.97,35722.17
1771008130,2026-02-14T02:42:10.055486,0.963,0.964,0.962,0.002,37290.65,35616.93
1771008310,2026-02-14T02:45:10.261796,0.963,0.964,0.962,0.002,37265.94,36509.99
1771008490,2026-02-14T02:48:10.023010,0.963,0.964,0.962,0.002,37392.94,36267.51
1771008676,2026-02-14T02:51:16.647661,0.963,0.964,0.962,0.002,37250.47,36266.19
1771008850,2026-02-14T02:54:10.205158,0.9615,0.962,0.961,0.001,37809.1,14517.82
1771009034,2026-02-14T02:57:14.957752,0.962,0.963,0.961,0.002,36883.65,20108.37
1771009210,2026-02-14T03:00:10.249681,0.9635,0.964,0.963,0.001,27681.28,37155.2
1771009390,2026-02-14T03:03:10.306447,0.964,0.965,0.963,0.002,27551.260000000002,136204.44
1771009570,2026-02-14T03:06:10.219614,0.964,0.965,0.963,0.002,18144.010000000002,136050.81
1771009750,2026-02-14T03:09:10.237830,0.964,0.965,0.963,0.002,18446.99,136151.49
1771009935,2026-02-14T03:12:15.277030,0.964,0.965,0.963,0.002,18350.15,135801.88
1771010110,2026-02-14T03:15:10.448004,0.964,0.965,0.963,0.002,18225.5,135746.49
1771010290,2026-02-14T03:18:10.667843,0.964,0.965,0.963,0.002,27490.74,135560.94
1771010470,2026-02-14T03:21:10.489722,0.962,0.963,0.961,0.002,43489.28,18078.07
1771010650,2026-02-14T03:24:10.480638,0.9625,0.963,0.962,0.001,34013.18,18102.06
1771010830,2026-02-14T03:27:10.447204,0.962,0.963,0.961,0.002,41332.01,17721.95
1771011010,2026-02-14T03:30:10.672207,0.962,0.963,0.961,0.002,41969.05,18185.95
1771011190,2026-02-14T03:33:10.311423,0.9625,0.963,0.962,0.001,32064.95,18835.95
1771011370,2026-02-14T03:36:10.675544,0.9615,0.962,0.961,0.001,44165.950000000004,12529.51
1771011550,2026-02-14T03:39:10.695727,0.963,0.964,0.962,0.002,34077.1,26194.02
1771011730,2026-02-14T03:42:10.687801,0.9635,0.964,0.963,0.001,22272.39,36904.91
1771011910,2026-02-14T03:45:10.883088,0.963,0.964,0.962,0.002,35439.23,138032.89
1771012090,2026-02-14T03:48:10.668180,0.9625,0.963,0.962,0.001,33545.68,39031.36
1771012270,2026-02-14T03:51:10.661235,0.9615,0.962,0.961,0.001,41337.13,18426.35
1771012450,2026-02-14T03:54:10.617637,0.9635,0.964,0.963,0.001,42505.82,62140.950000000004
1771012631,2026-02-14T03:57:11.001602,0.9615,0.962,0.961,0.001,52707.0,23395.09
1771012810,2026-02-14T04:00:10.892129,0.962,0.963,0.961,0.002,52564.87,40051.5
1771012990,2026-02-14T04:03:10.926579,0.962,0.963,0.961,0.002,52514.78,39955.51
1771013170,2026-02-14T04:06:10.879593,0.9615,0.962,0.961,0.001,49524.51,22536.57
1771013351,2026-02-14T04:09:11.102514,0.9625,0.963,0.962,0.001,41732.38,34416.270000000004
1771013530,2026-02-14T04:12:10.941097,0.9625,0.963,0.962,0.001,41411.340000000004,34277.19
1771013711,2026-02-14T04:15:11.221177,0.9625,0.963,0.962,0.001,44832.24,34238.08
1771013890,2026-02-14T04:18:10.890308,0.9615,0.962,0.961,0.001,49724.86,74145.64
1771014070,2026-02-14T04:21:10.950286,0.9615,0.962,0.961,0.001,46450.84,74145.64
1771014250,2026-02-14T04:24:10.856376,0.9615,0.962,0.961,0.001,46247.06,173528.12
1771014431,2026-02-14T04:27:11.081211,0.9595,0.96,0.959,0.001,57529.520000000004,138542.76
1771014611,2026-02-14T04:30:11.150053,0.9595,0.96,0.959,0.001,56851.43,138080.1
1771014791,2026-02-14T04:33:11.079145,0.9595,0.96,0.959,0.001,57449.92,137922.03
1771014971,2026-02-14T04:36:11.096476,0.9595,0.96,0.959,0.001,57434.92,137842.08000000002
1771015151,2026-02-14T04:39:11.142962,0.9595,0.96,0.959,0.001,57313.28,137722.19
1771015331,2026-02-14T04:42:11.102536,0.9595,0.96,0.959,0.001,57784.8,133774.81
1771015511,2026-02-14T04:45:11.256056,0.9595,0.96,0.959,0.001,52969.56,133951.71
1771015691,2026-02-14T04:48:11.283111,0.9595,0.96,0.959,0.001,52921.23,134793.39
1771015871,2026-02-14T04:51:11.308782,0.9595,0.96,0.959,0.001,49869.37,131652.48
1771016051,2026-02-14T04:54:11.286678,0.9595,0.96,0.959,0.001,43961.549999999996,131689.08
1771016231,2026-02-14T04:57:11.688779,0.9595,0.96,0.959,0.001,43960.51,131687.99
1771016411,2026-02-14T05:00:11.677545,0.9595,0.96,0.959,0.001,43861.13,131614.76
1771016591,2026-02-14T05:03:11.242003,0.9595,0.96,0.959,0.001,44246.8,131614.76
1771016771,2026-02-14T05:06:11.362519,0.9595,0.96,0.959,0.001,44206.909999999996,130974.87
1771016951,2026-02-14T05:09:11.463524,0.9585,0.959,0.958,0.001,72079.02,131292.55
1771017131,2026-02-14T05:12:11.437932,0.9585,0.959,0.958,0.001,71962.94,131130.34
1771017311,2026-02-14T05:15:11.520821,0.9585,0.959,0.958,0.001,71800.36,131105.95
1771017495,2026-02-14T05:18:15.452088,0.9595,0.96,0.959,0.001,44066.64,130734.56
1771017671,2026-02-14T05:21:11.624655,0.9595,0.96,0.959,0.001,46209.22,130647.14
1771017851,2026-02-14T05:24:11.454682,0.9595,0.96,0.959,0.001,46209.22,121833.94
1771018031,2026-02-14T05:27:11.654630,0.9595,0.96,0.959,0.001,46671.72,121429.20999999999
1771018215,2026-02-14T05:30:15.686871,0.9595,0.96,0.959,0.001,46671.72,121329.20999999999
1771018391,2026-02-14T05:33:11.491794,0.9595,0.96,0.959,0.001,46250.58,121281.11
1771018571,2026-02-14T05:36:11.642836,0.959,0.96,0.958,0.002,62272.49,121208.08
1771018751,2026-02-14T05:39:11.675124,0.959,0.96,0.958,0.002,63413.340000000004,120900.59
1771018935,2026-02-14T05:42:15.775233,0.959,0.96,0.958,0.002,63149.26,120589.69
1771019111,2026-02-14T05:45:11.658009,0.959,0.96,0.958,0.002,75058.39,120538.81999999999
1771019291,2026-02-14T05:48:11.680215,0.959,0.96,0.958,0.002,77403.39,120538.81999999999
1771019471,2026-02-14T05:51:11.680243,0.959,0.96,0.958,0.002,77353.06,120485.36
1771019651,2026-02-14T05:54:11.588432,0.959,0.96,0.958,0.002,77186.68,120316.89
1771019831,2026-02-14T05:57:11.870616,0.959,0.96,0.958,0.002,77185.63,118139.1
1771020011,2026-02-14T06:00:11.883996,0.959,0.96,0.958,0.002,77035.54,117944.82
1771020191,2026-02-14T06:03:11.882176,0.959,0.96,0.958,0.002,77009.81,117639.46
1771020371,2026-02-14T06:06:11.632773,0.959,0.96,0.958,0.002,76890.76,117639.46
1771020552,2026-02-14T06:09:12.094390,0.959,0.96,0.958,0.002,76838.28,117093.02
1771020732,2026-02-14T06:12:12.150608,0.959,0.96,0.958,0.002,76784.98,117004.83
1771020911,2026-02-14T06:15:11.892596,0.9585,0.959,0.958,0.001,78705.84,117751.89
1771021092,2026-02-14T06:18:12.094890,0.9585,0.959,0.958,0.001,78652.42,117599.66
1771021271,2026-02-14T06:21:11.859129,0.9585,0.959,0.958,0.001,78526.34999999999,117473.68
1771021452,2026-02-14T06:24:12.054436,0.9585,0.959,0.958,0.001,78486.79,117331.0
1771021632,2026-02-14T06:27:12.107137,0.9585,0.959,0.958,0.001,78206.59,117434.71
1771021812,2026-02-14T06:30:12.221401,0.9585,0.959,0.958,0.001,78427.55,118669.8
1771021992,2026-02-14T06:33:12.082192,0.959,0.96,0.958,0.002,78363.54,127310.67
1771022176,2026-02-14T06:36:16.672527,0.9575,0.958,0.957,0.001,76881.61,115002.86
1771022352,2026-02-14T06:39:12.035997,0.958,0.959,0.957,0.002,80066.59999999999,114940.5
1771022532,2026-02-14T06:42:12.011384,0.958,0.959,0.957,0.002,80069.73999999999,114851.33
1771022712,2026-02-14T06:45:12.079672,0.958,0.959,0.957,0.002,80068.72,114742.25
1771022892,2026-02-14T06:48:12.064197,0.958,0.959,0.957,0.002,79623.37,114844.21
1771023072,2026-02-14T06:51:12.419116,0.958,0.959,0.957,0.002,79456.4,114668.93
1771023252,2026-02-14T06:54:12.228547,0.958,0.959,0.957,0.002,74078.39,110465.5
1771023432,2026-02-14T06:57:12.226579,0.9595,0.96,0.959,0.001,26432.75,111706.26
1771023792,2026-02-14T07:03:12.228899,0.9575,0.958,0.957,0.001,72665.84,111719.53
1771023972,2026-02-14T07:06:12.228656,0.958,0.959,0.957,0.002,72695.83,111826.54
1771024152,2026-02-14T07:09:12.225934,0.958,0.959,0.957,0.002,72670.23999999999,111824.91
1771024332,2026-02-14T07:12:12.452991,0.958,0.959,0.957,0.002,72670.23999999999,136977.68
1771024512,2026-02-14T07:15:12.450044,0.9565,0.957,0.956,0.001,82672.84,119976.54000000001
1771024692,2026-02-14T07:18:12.429432,0.957,0.958,0.956,0.002,72795.98999999999,119950.56
1771024872,2026-02-14T07:21:12.451591,0.957,0.958,0.956,0.002,72751.65,119820.89
1771025052,2026-02-14T07:24:12.613139,0.9585,0.959,0.958,0.001,54780.909999999996,121605.24
1771025232,2026-02-14T07:27:12.568409,0.957,0.958,0.956,0.002,79106.29,119334.04000000001
1771025412,2026-02-14T07:30:12.444445,0.958,0.959,0.957,0.002,72085.72,141551.43
1771025592,2026-02-14T07:33:12.449636,0.958,0.959,0.957,0.002,71399.29,141076.0
1771025772,2026-02-14T07:36:12.564333,0.9585,0.959,0.958,0.001,61394.99,140834.55
1771025952,2026-02-14T07:39:12.648728,0.9585,0.959,0.958,0.001,62294.99,141007.08000000002
1771026132,2026-02-14T07:42:12.627489,0.9585,0.959,0.958,0.001,63523.39,141104.55
1771026312,2026-02-14T07:45:12.533160,0.9585,0.959,0.958,0.001,63425.759999999995,141054.48
1771026492,2026-02-14T07:48:12.662618,0.9585,0.959,0.958,0.001,63409.78999999999,141038.51
1771026672,2026-02-14T07:51:12.650923,0.9585,0.959,0.958,0.001,66318.48,138932.2
1771026852,2026-02-14T07:54:12.665647,0.9585,0.959,0.958,0.001,66318.48,138927.2
1771027032,2026-02-14T07:57:12.843482,0.9585,0.959,0.958,0.001,66265.43,138894.97
1771027212,2026-02-14T08:00:12.854268,0.9585,0.959,0.958,0.001,65986.25,138894.97
1771027392,2026-02-14T08:03:12.674099,0.9575,0.958,0.957,0.001,76046.29,137624.07
1771027572,2026-02-14T08:06:12.873852,0.9575,0.958,0.957,0.001,75953.73999999999,137531.52
1771027752,2026-02-14T08:09:12.852156,0.9575,0.958,0.957,0.001,75536.38,137393.77
1771027932,2026-02-14T08:12:12.853698,0.9575,0.958,0.957,0.001,74646.38,137293.77
1771028112,2026-02-14T08:15:12.839322,0.9575,0.958,0.957,0.001,74464.92,137131.97
1771028292,2026-02-14T08:18:12.837081,0.9575,0.958,0.957,0.001,74476.63,137089.56
1771028472,2026-02-14T08:21:12.790439,0.9575,0.958,0.957,0.001,74456.64,136910.97
1771028652,2026-02-14T08:24:12.855018,0.9575,0.958,0.957,0.001,73994.12,136781.01
1771028833,2026-02-14T08:27:13.064159,0.9575,0.958,0.957,0.001,73900.70999999999,136665.3
1771029013,2026-02-14T08:30:13.049680,0.9575,0.958,0.957,0.001,73316.26999999999,136149.3
1771029193,2026-02-14T08:33:13.031567,0.958,0.959,0.957,0.002,72021.9,136110.65
1771029373,2026-02-14T08:36:13.094143,0.9585,0.959,0.958,0.001,62680.0,136110.65
1771029733,2026-02-14T08:42:13.089580,0.9585,0.959,0.958,0.001,63247.469999999994,136562.64
1771029913,2026-02-14T08:45:13.071265,0.9585,0.959,0.958,0.001,63166.85,136505.82
1771030093,2026-02-14T08:48:13.099996,0.9585,0.959,0.958,0.001,63000.2,136556.23
1771030273,2026-02-14T08:51:13.234664,0.9585,0.959,0.958,0.001,63000.2,129241.78
1771030457,2026-02-14T08:54:17.946864,0.9585,0.959,0.958,0.001,60684.7,129141.78
1771030633,2026-02-14T08:57:13.227808,0.9585,0.959,0.958,0.001,60633.049999999996,129091.12000000001
1771030813,2026-02-14T09:00:13.273867,0.9585,0.959,0.958,0.001,60475.579999999994,129039.52
1771030993,2026-02-14T09:03:13.238469,0.9585,0.959,0.958,0.001,60475.579999999994,129039.52
