start,end,start_datetime,end_datetime,duration_buckets,duration_minutes,num_anomalous_buckets,peak_stress_score,peak_trade_count,peak_amount_sum,peak_avg_trade_size,total_amount,snapshot_covered,num_snapshot_buckets,max_abs_midpoint_return,max_spread,min_total_depth,max_abs_depth_imbalance,peak_activity_component,peak_liquidity_component,peak_price_component,mean_activity_component,mean_liquidity_component,mean_price_component,dominant_driver,market_file,market_stem
1770888600,1770888600,2026-02-12 09:30:00,2026-02-12 09:30:00,1,1,1,13.19580987126057,2.0,190.35000000000002,95.17500000000001,190.35000000000002,False,0,,,,,13.19580987126057,0.0,0.0,13.19580987126057,0.0,0.0,activity,1303357_YES.csv,1303357_YES
1771341600,1771341600,2026-02-17 15:20:00,2026-02-17 15:20:00,1,1,1,10.692383844138453,1.0,1.33332,1.33332,1.33332,True,1,0.4,0.001,3459685.94,0.9455082156965958,-0.9559807043899594,4.031497300987159,7.616867247541254,-0.9559807043899594,4.031497300987159,7.616867247541254,price_dislocation,1303357_YES.csv,1303357_YES
1771397940,1771397940,2026-02-18 06:59:00,2026-02-18 06:59:00,1,1,1,8.016140159787469,1.0,77.18123,77.18123,77.18123,True,1,0.0,0.001,3757115.75,0.8639493553000065,7.786992726467769,0.35824687819328005,-0.12909944487358058,7.786992726467769,0.35824687819328005,-0.12909944487358058,activity,1303357_YES.csv,1303357_YES
1770889080,1770889080,2026-02-12 09:38:00,2026-02-12 09:38:00,1,1,1,7.900271646142632,2.0,190.20000000000002,95.10000000000001,190.20000000000002,False,0,,,,,7.900271646142632,0.0,0.0,7.900271646142632,0.0,0.0,activity,1303357_YES.csv,1303357_YES
1770888840,1770888840,2026-02-12 09:34:00,2026-02-12 09:34:00,1,1,1,7.30044623923052,1.0,190.2,190.2,190.2,False,0,,,,,7.30044623923052,0.0,0.0,7.30044623923052,0.0,0.0,activity,1303357_YES.csv,1303357_YES
1771012800,1771012800,2026-02-13 20:00:00,2026-02-13 20:00:00,1,1,1,23.573357999727122,2.0,8189.0501589999985,4094.5250794999993,8189.0501589999985,True,1,0.10756972111553798,0.01,50774.619999999995,0.33529271120098975,14.649847937076927,2.6197631485039197,6.303746914146274,14.649847937076927,2.6197631485039197,6.303746914146274,activity,1308327_YES.csv,1308327_YES
1771020240,1771020360,2026-02-13 22:04:00,2026-02-13 22:06:00,3,3,3,18.513652329842344,8.0,5299.870286,734.0488196666666,7507.266742000001,True,3,0.05323193916349811,0.009,52381.38,0.4369690145620448,14.485614607562805,12.599459146971395,6.507457443085774,8.715952643510475,2.711300198318819,1.9097407193738674,mixed,1308327_YES.csv,1308327_YES
1771025040,1771025040,2026-02-13 23:24:00,2026-02-13 23:24:00,1,1,1,16.28214588406881,2.0,926.6209,463.31045,926.6209,True,1,0.07664233576642321,0.005,14862.23,0.3312968511454876,3.563436297633384,5.817595712289536,6.901113874145892,3.563436297633384,5.817595712289536,6.901113874145892,price_dislocation,1308327_YES.csv,1308327_YES
1771049340,1771049340,2026-02-14 06:09:00,2026-02-14 06:09:00,1,1,1,16.244199299124364,11.0,1169.729198,106.339018,1169.729198,True,1,0.05970149253731338,0.005,17664.54,0.5073067286212944,8.33795339423348,7.404465855828069,0.5017800490628175,8.33795339423348,7.404465855828069,0.5017800490628175,mixed,1308327_YES.csv,1308327_YES
1771058880,1771058880,2026-02-14 08:48:00,2026-02-14 08:48:00,1,1,1,15.877774973400712,16.0,37.61853,2.351158125,37.61853,True,1,0.11904761904761907,0.001,60289.11,0.8852366538500901,5.289086000156495,6.937111183093718,3.6515777901504984,5.289086000156495,6.937111183093718,3.6515777901504984,liquidity,1308327_YES.csv,1308327_YES
1771043940,1771043940,2026-02-14 04:39:00,2026-02-14 04:39:00,1,1,1,15.648609082044146,7.0,966.99948,138.14278285714286,966.99948,True,1,0.31950207468879666,0.016,8571.32,0.8181563633139354,5.805695630207498,3.375361621654333,6.467551830182317,5.805695630207498,3.375361621654333,6.467551830182317,mixed,1308327_YES.csv,1308327_YES
1771114320,1771114320,2026-02-15 00:12:00,2026-02-15 00:12:00,1,1,1,14.998756749286423,1.0,100.0,100.0,100.0,True,1,0.16666666666666663,0.002,1901936.0499999998,0.8869768307930228,10.344037319896938,1.488332581013208,3.1663868483762787,10.344037319896938,1.488332581013208,3.1663868483762787,activity,1308327_YES.csv,1308327_YES
1771083360,1771083360,2026-02-14 15:36:00,2026-02-14 15:36:00,1,1,1,14.102857908596556,1.0,441.86254,441.86254,441.86254,True,1,0.0,0.001,131105.38,0.48753331098998376,12.477338044424659,2.147917410628888,-0.5223975464569921,12.477338044424659,2.147917410628888,-0.5223975464569921,activity,1308327_YES.csv,1308327_YES
1771041600,1771041600,2026-02-14 04:00:00,2026-02-14 04:00:00,1,1,1,14.081557443568258,3.0,2239.042519,746.3475063333334,2239.042519,True,1,0.0658436213991771,0.017,6363.99,0.31712966236590573,8.462222473843045,3.441527121276821,2.177807848448393,8.462222473843045,3.441527121276821,2.177807848448393,activity,1308327_YES.csv,1308327_YES
1771007940,1771007940,2026-02-13 18:39:00,2026-02-13 18:39:00,1,1,1,14.01388012609179,3.0,22.83124,7.610413333333334,22.83124,True,1,0.07065217391304335,0.01,15502.97,0.708080451681194,-1.219854368990716,7.616867247541253,7.616867247541252,-1.219854368990716,7.616867247541253,7.616867247541252,mixed,1308327_YES.csv,1308327_YES
1771067940,1771067940,2026-02-14 11:19:00,2026-02-14 11:19:00,1,1,1,13.91296913035314,18.0,358.78772,19.93265111111111,358.78772,True,1,0.0,0.002,130581.16,0.6735429521379653,12.252515516781576,2.111530237030956,-0.45107662345939326,12.252515516781576,2.111530237030956,-0.45107662345939326,activity,1308327_YES.csv,1308327_YES
1771088040,1771088040,2026-02-14 16:54:00,2026-02-14 16:54:00,1,1,1,13.730779550472068,5.0,19.946269,3.9892538,19.946269,True,1,0.1724137931034484,0.002,94730.89,0.7123375490296777,2.8547105621221056,6.559429589392844,4.316639398957119,2.8547105621221056,6.559429589392844,4.316639398957119,liquidity,1308327_YES.csv,1308327_YES
1771072920,1771072920,2026-02-14 12:42:00,2026-02-14 12:42:00,1,1,1,13.605679324790852,6.0,398.26164,66.37694,398.26164,True,1,0.02564102564102566,0.002,88265.76,0.5307743342378743,9.041231667238302,3.871549559904558,0.6928980976479922,9.041231667238302,3.871549559904558,0.6928980976479922,activity,1308327_YES.csv,1308327_YES
1771083540,1771083540,2026-02-14 15:39:00,2026-02-14 15:39:00,1,1,1,12.685844155780462,5.0,30.703198,6.1406396,30.703198,True,1,0.08108108108108092,0.002,122990.48,0.7054048410901397,2.3567722617915123,7.322414251722361,3.0066576422665894,2.3567722617915123,7.322414251722361,3.0066576422665894,liquidity,1308327_YES.csv,1308327_YES
1771004220,1771004220,2026-02-13 17:37:00,2026-02-13 17:37:00,1,1,1,12.468504304494092,1.0,1775.09805,1775.09805,1775.09805,False,0,,,,,12.468504304494092,0.0,0.0,12.468504304494092,0.0,0.0,activity,1308327_YES.csv,1308327_YES
1771012980,1771012980,2026-02-13 20:03:00,2026-02-13 20:03:00,1,1,1,12.234895271864815,4.0,40.803348,10.200837,40.803348,True,1,0.06115107913669071,0.003,10818.740000000002,0.5825724622275792,1.191345179897051,7.820203481537043,3.2233466104307205,1.191345179897051,7.820203481537043,3.2233466104307205,liquidity,1308327_YES.csv,1308327_YES
1771085340,1771085340,2026-02-14 16:09:00,2026-02-14 16:09:00,1,1,1,12.052804307598414,3.0,40.289879,13.429959666666667,40.289879,True,1,0.06451612903225823,0.003,152683.05,0.4302691752620871,1.1243167091141948,9.141657565934091,1.7868300325501276,1.1243167091141948,9.141657565934091,1.7868300325501276,liquidity,1308327_YES.csv,1308327_YES
1771079400,1771079400,2026-02-14 14:30:00,2026-02-14 14:30:00,1,1,1,11.683681547248199,2.0,183.45963,91.729815,183.45963,True,1,0.08823529411764697,0.003,79711.23,0.31143604232427474,7.124606891892398,2.1994057758213144,2.359668879534486,7.124606891892398,2.1994057758213144,2.359668879534486,activity,1308327_YES.csv,1308327_YES
1771097040,1771097040,2026-02-14 19:24:00,2026-02-14 19:24:00,1,1,1,11.609429415507293,2.0,309.919999,154.9599995,309.919999,True,1,0.0,0.001,107191.21,0.015818367942669893,14.087983073882597,-2.141266592921447,-0.3372870654538571,14.087983073882597,-2.141266592921447,-0.3372870654538571,activity,1308327_YES.csv,1308327_YES
1771038120,1771038120,2026-02-14 03:02:00,2026-02-14 03:02:00,1,1,1,11.384778705999175,5.0,2301.65064,460.33012799999995,2301.65064,True,1,0.0,0.005,24146.37,0.3006832911116661,11.75028339585879,0.1368629005881803,-0.5023675904477967,11.75028339585879,0.1368629005881803,-0.5023675904477967,activity,1308327_YES.csv,1308327_YES
1771014060,1771014060,2026-02-13 20:21:00,2026-02-13 20:21:00,1,1,1,10.967487917977888,5.0,55.452199,11.0904398,55.452199,True,1,0.1030534351145036,0.009,19091.43,0.7789971730771345,1.623795275117859,4.767781990099216,4.575910652760812,1.623795275117859,4.767781990099216,4.575910652760812,mixed,1308327_YES.csv,1308327_YES
1771041240,1771041240,2026-02-14 03:54:00,2026-02-14 03:54:00,1,1,1,10.942023527934536,1.0,34.999998999999995,34.999998999999995,34.999998999999995,True,1,0.06944444444444431,0.008,4266.64,0.524290776817355,-0.8944700650438344,9.01336933013715,2.8231242628412203,-0.8944700650438344,9.01336933013715,2.8231242628412203,liquidity,1308327_YES.csv,1308327_YES
1771024860,1771024860,2026-02-13 23:21:00,2026-02-13 23:21:00,1,1,1,10.662603874174362,5.0,1771.6289179999999,354.32578359999997,1771.6289179999999,True,1,0.014814814814814836,0.004,39855.72,0.36815543666003275,6.172189581031523,1.6646450758218252,2.825769217321014,6.172189581031523,1.6646450758218252,2.825769217321014,activity,1308327_YES.csv,1308327_YES
1771044120,1771044120,2026-02-14 04:42:00,2026-02-14 04:42:00,1,1,1,10.149193572539422,6.0,665.325,110.8875,665.325,True,1,0.15243902439024382,0.027,38087.619999999995,0.5062852443917473,3.7896603670829387,3.7050125098320357,2.654520695624449,3.7896603670829387,3.7050125098320357,2.654520695624449,mixed,1308327_YES.csv,1308327_YES
1771133580,1771133580,2026-02-15 05:33:00,2026-02-15 05:33:00,1,1,1,10.147691527357633,1.0,1.0,1.0,1.0,True,1,0.6666666666666667,0.001,1846417.55,1.0,-1.0216183778750791,5.203797580524406,5.965512324708305,-1.0216183778750791,5.203797580524406,5.965512324708305,mixed,1308327_YES.csv,1308327_YES
1771126440,1771126440,2026-02-15 03:34:00,2026-02-15 03:34:00,1,1,1,10.026827699875307,1.0,358.65036,358.65036,358.65036,True,1,0.0,0.001,1591066.8,0.8169284658569961,12.505138375848437,-2.2665044591580714,-0.21180621681506015,12.505138375848437,-2.2665044591580714,-0.21180621681506015,activity,1308327_YES.csv,1308327_YES
1771131600,1771131600,2026-02-15 05:00:00,2026-02-15 05:00:00,1,1,1,9.72656703094061,3.0,66.5612,22.187066666666666,66.5612,True,1,0.0,0.001,1118969.18,0.8844265755380322,3.1224175036235917,6.815381351352159,-0.21123182403514246,3.1224175036235917,6.815381351352159,-0.21123182403514246,liquidity,1308327_YES.csv,1308327_YES
1771057860,1771057860,2026-02-14 08:31:00,2026-02-14 08:31:00,1,1,1,9.721498332743435,12.0,253.69541999999998,21.141285,253.69541999999998,True,1,0.0,0.001,52849.84,0.5824017631841458,9.722083811462959,0.41599237457966476,-0.41657785329918817,9.722083811462959,0.41599237457966476,-0.41657785329918817,activity,1308327_YES.csv,1308327_YES
1770995460,1770995460,2026-02-13 15:11:00,2026-02-13 15:11:00,1,1,1,9.716291592360342,11.0,4907.329997000001,446.1209088181819,4907.329997000001,False,0,,,,,9.716291592360342,0.0,0.0,9.716291592360342,0.0,0.0,activity,1308327_YES.csv,1308327_YES
