timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771007699,2026-02-14T02:34:59.019336,0.0025,0.003,0.002,0.001,2540845.12,99024.04000000001
1771007948,2026-02-14T02:39:08.638950,0.0025,0.003,0.002,0.001,2540845.12,99023.31000000001
1771008128,2026-02-14T02:42:08.713320,0.0025,0.003,0.002,0.001,2540845.12,99018.02
1771008308,2026-02-14T02:45:08.683510,0.0025,0.003,0.002,0.001,2540745.12,99018.02
1771008488,2026-02-14T02:48:08.636164,0.0025,0.003,0.002,0.001,2540645.12,99018.02
1771008675,2026-02-14T02:51:15.260064,0.0025,0.003,0.002,0.001,2540645.12,99023.51000000001
1771008848,2026-02-14T02:54:08.733644,0.0025,0.003,0.002,0.001,2540645.12,96810.86
1771009033,2026-02-14T02:57:13.575417,0.0025,,,0.001,2540845.12,96805.81
1771009208,2026-02-14T03:00:08.850070,0.0025,0.003,0.002,0.001,2540845.12,96805.81
1771009388,2026-02-14T03:03:08.913624,0.0025,0.003,0.002,0.001,2540845.12,96805.81
1771009568,2026-02-14T03:06:08.865100,0.0025,0.003,0.002,0.001,2540845.12,96805.81
1771009748,2026-02-14T03:09:08.817434,0.0025,0.003,0.002,0.001,2540845.12,96520.81
1771009933,2026-02-14T03:12:13.886280,0.0025,0.003,0.002,0.001,2540845.12,96520.81
1771010109,2026-02-14T03:15:09.039598,0.0025,0.003,0.002,0.001,2540845.12,96526.01
1771010289,2026-02-14T03:18:09.225935,0.0025,0.003,0.002,0.001,2540845.12,96526.01
1771010469,2026-02-14T03:21:09.082411,0.0025,0.003,0.002,0.001,2540845.12,96526.01
1771010649,2026-02-14T03:24:09.087370,0.0025,0.003,0.002,0.001,2540845.12,96520.81
1771010829,2026-02-14T03:27:09.019842,0.0025,0.003,0.002,0.001,2540845.12,96520.81
1771011009,2026-02-14T03:30:09.220623,0.0025,0.003,0.002,0.001,2540771.12,96570.95999999999
1771011188,2026-02-14T03:33:08.952055,0.0025,0.003,0.002,0.001,2540771.12,96621.11
1771011369,2026-02-14T03:36:09.280308,0.0025,0.003,0.002,0.001,2540771.12,96621.11
1771011549,2026-02-14T03:39:09.288570,0.0025,0.003,0.002,0.001,2540671.12,96631.12999999999
1771011729,2026-02-14T03:42:09.225623,0.0025,0.003,0.002,0.001,2540085.12,96149.17
1771011909,2026-02-14T03:45:09.437632,0.0025,0.003,0.002,0.001,2539683.12,95622.74
1771012089,2026-02-14T03:48:09.230553,0.0025,0.003,0.002,0.001,2539181.12,95064.91
1771012269,2026-02-14T03:51:09.272289,0.0025,0.003,0.002,0.001,2539181.12,95064.91
1771012449,2026-02-14T03:54:09.221266,0.0025,0.003,0.002,0.001,2538177.22,94563.01
1771012629,2026-02-14T03:57:09.637002,0.0025,0.003,0.002,0.001,2538177.22,94061.01
1771012809,2026-02-14T04:00:09.457890,0.0025,0.003,0.002,0.001,2537575.22,93508.86
