bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,market_file,market_stem
1770790800,2026-02-11 06:20:00,1,250.0,50.0,0.1999999999992,50.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770791220,2026-02-11 06:27:00,1,27.0,5.67,0.2099999999922222,5.67,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792480,2026-02-11 06:48:00,3,30.0,5.699999999999999,0.18999999999366665,1.8999999999999997,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792540,2026-02-11 06:49:00,1,10.0,1.9,0.18999999998099998,1.9,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792600,2026-02-11 06:50:00,5,89.95,17.0905,0.1899999999978877,3.4181,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792780,2026-02-11 06:53:00,5,601.0,108.17999999999999,0.17999999999970048,21.636,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792840,2026-02-11 06:54:00,4,451.0,81.18,0.17999999999960087,20.295,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770792960,2026-02-11 06:56:00,2,42.0,7.56,0.17999999999571428,3.78,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770793020,2026-02-11 06:57:00,2,42.0,7.56,0.17999999999571428,3.78,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770793320,2026-02-11 07:02:00,2,40.0,7.2,0.1799999999955,3.6,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770793440,2026-02-11 07:04:00,1,8.0,1.44,0.1799999999775,1.44,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770793980,2026-02-11 07:13:00,1,8.97,1.6146,0.1799999999799331,1.6146,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770794040,2026-02-11 07:14:00,1,410.0,77.9,0.1899999999995366,77.9,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770794220,2026-02-11 07:17:00,1,5.0,0.8999999999999999,0.17999999996399998,0.8999999999999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770794460,2026-02-11 07:21:00,1,104.36,20.872,0.19999999999808354,20.872,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770794520,2026-02-11 07:22:00,1,45.7,9.14,0.19999999999562365,9.14,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770795720,2026-02-11 07:42:00,1,120.14,21.6252,0.17999999999850175,21.6252,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770797280,2026-02-11 08:08:00,1,84.0,15.12,0.17999999999785712,15.12,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770800700,2026-02-11 09:05:00,2,9.99,1.998,0.19999999997998,0.999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770802680,2026-02-11 09:38:00,1,52.631577,9.999999,0.1899999880263895,9.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770807600,2026-02-11 11:00:00,4,99.1875,15.87,0.15999999999838688,3.9675,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770807660,2026-02-11 11:01:00,2,185.0,29.6,0.15999999999913514,14.8,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770808740,2026-02-11 11:19:00,1,100.0,17.0,0.16999999999829998,17.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770809820,2026-02-11 11:37:00,1,79.5,15.9,0.19999999999748427,15.9,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770812100,2026-02-11 12:15:00,1,5.0,0.95,0.18999999996199998,0.95,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770812460,2026-02-11 12:21:00,1,79.0,15.8,0.19999999999746834,15.8,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770812520,2026-02-11 12:22:00,1,14.4,2.736,0.18999999998680556,2.736,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
1770812580,2026-02-11 12:23:00,1,0.5,0.095,0.18999999962000003,0.095,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345822_YES.csv,1345822_YES
